Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,27p,C_0603_1608Metric,88.26,-102.94,0.0,top
C2,27p,C_0603_1608Metric,87.51,-97.44,-90.0,top
C3,0.1u,C_0603_1608Metric,85.44131,-93.95373,0.0,top
C4,1u,C_0603_1608Metric,68.01,-96.19,180.0,top
C5,0.1u,C_0603_1608Metric,66.11131,-90.70873,90.0,top
C6,0.1u,C_0603_1608Metric,75.61131,-89.18373,90.0,top
C7,1u,C_0603_1608Metric,68.61131,-91.48373,180.0,top
C8,0.1u,C_0603_1608Metric,70.8975,-89.8025,90.0,top
C9,0.1u,C_0603_1608Metric,82.64131,-95.50373,0.0,top
C10,0.1u,C_0603_1608Metric,76.04131,-102.90373,-90.0,top
C11,0.1u,C_0603_1608Metric,71.54131,-101.90373,-90.0,top
C12,0.1u,C_0603_1608Metric,72.44131,-89.80373,90.0,top
C13,0.1u,C_0603_1608Metric,60.01,-95.44,180.0,top
C14,0.1u,C_0603_1608Metric,68.01,-94.69,180.0,top
C15,470u,CP_Radial_D6.3mm_P2.50mm,85.56,-80.17,-90.0,top
C16,10u,C_0603_1608Metric,97.71869,-63.93627,-90.0,top
C17,10u,C_0603_1608Metric,97.71869,-72.68627,-90.0,top
C18,2.2u,C_0603_1608Metric,89.8,-79.2,-90.0,top
C19,10u,C_0603_1608Metric,97.96869,-54.43627,-90.0,top
C20,10u,C_0603_1608Metric,112.71869,-68.93627,0.0,top
C21,10u,C_0603_1608Metric,112.71869,-59.93627,0.0,top
C22,10u,C_0603_1608Metric,78.09869,-76.18627,0.0,top
C23,10u,C_0603_1608Metric,112.69369,-50.43627,0.0,top
C24,0.1u,C_0603_1608Metric,124.12,-139.53,0.0,top
C25,0.1u,C_0603_1608Metric,140.07,-137.88,180.0,top
C26,0.1u,C_0603_1608Metric,140.07,-139.73,180.0,top
C27,1.5p,C_0603_1608Metric,149.35,-146.15627,90.0,top
C28,1.5p,C_0603_1608Metric,149.35,-149.20627,90.0,top
C29,1.5p,C_0603_1608Metric,149.35,-130.88127,90.0,top
C30,1.5p,C_0603_1608Metric,149.35,-127.80627,90.0,top
C31,0.1u,C_0603_1608Metric,125.775,-136.20627,0.0,top
C32,0.1u,C_0603_1608Metric,136.62,-138.83,-90.0,top
C33,0.1u,C_0603_1608Metric,127.22,-140.58,180.0,top
C34,0.1u,C_0603_1608Metric,132.275,-132.80627,-90.0,top
C35,0.1u,C_0603_1608Metric,132.275,-144.10627,90.0,top
C36,1.5p,C_0603_1608Metric,149.35,-140.055,90.0,top
C37,1.5p,C_0603_1608Metric,149.35,-143.08127,90.0,top
C38,1.5p,C_0603_1608Metric,149.3525,-133.93627,90.0,top
C39,1.5p,C_0603_1608Metric,149.3525,-136.98627,90.0,top
C40,0.1u,C_0603_1608Metric,164.1,-135.05,90.0,top
C41,0.1u,C_0603_1608Metric,167.35,-131.111872,0.0,top
C42,0.1u,C_0603_1608Metric,163.7,-151.25,90.0,top
C43,0.1u,C_0603_1608Metric,169.019401,-147.13127,0.0,top
C44,0.1u,C_0603_1608Metric,162.15,-126.6,-90.0,top
C45,0.1u,C_0603_1608Metric,157.219401,-130.461872,180.0,top
C46,0.1u,C_0603_1608Metric,161.744401,-141.83127,-90.0,top
C47,0.1u,C_0603_1608Metric,156.9175,-146.13127,180.0,top
C48,1u,C_0603_1608Metric,177.0625,-148.465969,90.0,top
C49,1u,C_0603_1608Metric,177.0625,-145.35627,90.0,top
C50,1u,C_0603_1608Metric,177.0125,-132.721571,90.0,top
C51,1u,C_0603_1608Metric,177.0125,-129.63627,90.0,top
C52,0.1u,C_0603_1608Metric,124.12,-108.32373,0.0,top
C53,0.1u,C_0603_1608Metric,140.07,-106.67373,180.0,top
C54,0.1u,C_0603_1608Metric,140.07,-108.52373,180.0,top
C55,1.5p,C_0603_1608Metric,149.35,-114.95,90.0,top
C56,1.5p,C_0603_1608Metric,149.35,-118.0,90.0,top
C57,1.5p,C_0603_1608Metric,149.35,-99.675,90.0,top
C58,1.5p,C_0603_1608Metric,149.35,-96.6,90.0,top
C59,0.1u,C_0603_1608Metric,125.775,-105.0,0.0,top
C60,0.1u,C_0603_1608Metric,136.62,-107.62373,-90.0,top
C61,0.1u,C_0603_1608Metric,127.22,-109.37373,180.0,top
C62,0.1u,C_0603_1608Metric,132.275,-101.6,-90.0,top
C63,0.1u,C_0603_1608Metric,132.275,-112.9,90.0,top
C64,1.5p,C_0603_1608Metric,149.35869,-108.78627,90.0,top
C65,1.5p,C_0603_1608Metric,149.35,-111.875,90.0,top
C66,1.5p,C_0603_1608Metric,149.3525,-102.73,90.0,top
C67,1.5p,C_0603_1608Metric,149.3525,-105.78,90.0,top
C68,0.1u,C_0603_1608Metric,164.1,-103.84373,90.0,top
C69,0.1u,C_0603_1608Metric,167.35,-99.905602,0.0,top
C70,0.1u,C_0603_1608Metric,163.7,-120.04373,90.0,top
C71,0.1u,C_0603_1608Metric,169.019401,-115.925,0.0,top
C72,0.1u,C_0603_1608Metric,162.15,-95.39373,-90.0,top
C73,0.1u,C_0603_1608Metric,157.219401,-99.255602,180.0,top
C74,0.1u,C_0603_1608Metric,161.744401,-110.625,-90.0,top
C75,0.1u,C_0603_1608Metric,156.9175,-114.925,180.0,top
C76,1u,C_0603_1608Metric,177.0625,-117.259699,90.0,top
C77,1u,C_0603_1608Metric,177.0625,-114.15,90.0,top
C78,1u,C_0603_1608Metric,177.0125,-101.515301,90.0,top
C79,1u,C_0603_1608Metric,177.0125,-98.43,90.0,top
C80,0.1u,C_0603_1608Metric,124.12,-77.11746,0.0,top
C81,0.1u,C_0603_1608Metric,140.07,-75.46746,180.0,top
C82,0.1u,C_0603_1608Metric,140.07,-77.31746,180.0,top
C83,1.5p,C_0603_1608Metric,149.35,-83.74373,90.0,top
C84,1.5p,C_0603_1608Metric,149.35,-86.79373,90.0,top
C85,1.5p,C_0603_1608Metric,149.35,-68.46873,90.0,top
C86,1.5p,C_0603_1608Metric,149.35,-65.39373,90.0,top
C87,0.1u,C_0603_1608Metric,125.775,-73.79373,0.0,top
C88,0.1u,C_0603_1608Metric,136.62,-76.41746,-90.0,top
C89,0.1u,C_0603_1608Metric,127.22,-78.16746,180.0,top
C90,0.1u,C_0603_1608Metric,132.275,-70.39373,-90.0,top
C91,0.1u,C_0603_1608Metric,132.275,-81.69373,90.0,top
C92,1.5p,C_0603_1608Metric,149.35,-77.64246,90.0,top
C93,1.5p,C_0603_1608Metric,149.35,-80.66873,90.0,top
C94,1.5p,C_0603_1608Metric,149.3525,-71.52373,90.0,top
C95,1.5p,C_0603_1608Metric,149.3525,-74.57373,90.0,top
C96,0.1u,C_0603_1608Metric,164.1,-72.63746,90.0,top
C97,0.1u,C_0603_1608Metric,167.35,-68.699332,0.0,top
C98,0.1u,C_0603_1608Metric,163.7,-88.83746,90.0,top
C99,0.1u,C_0603_1608Metric,169.019401,-84.71873,0.0,top
C100,0.1u,C_0603_1608Metric,162.15,-64.18746,-90.0,top
C101,0.1u,C_0603_1608Metric,157.219401,-68.049332,180.0,top
C102,0.1u,C_0603_1608Metric,161.744401,-79.41873,-90.0,top
C103,0.1u,C_0603_1608Metric,156.9175,-83.71873,180.0,top
C104,1u,C_0603_1608Metric,177.0625,-86.053429,90.0,top
C105,1u,C_0603_1608Metric,177.0625,-82.94373,90.0,top
C106,1u,C_0603_1608Metric,177.0125,-70.309031,90.0,top
C107,1u,C_0603_1608Metric,177.0125,-67.22373,90.0,top
C108,0.1u,C_0603_1608Metric,124.225,-45.17873,0.0,top
C109,0.1u,C_0603_1608Metric,140.175,-43.52873,180.0,top
C110,0.1u,C_0603_1608Metric,140.175,-45.37873,180.0,top
C111,1.5p,C_0603_1608Metric,149.455,-51.805,90.0,top
C112,1.5p,C_0603_1608Metric,149.455,-54.855,90.0,top
C113,1.5p,C_0603_1608Metric,149.455,-36.53,90.0,top
C114,1.5p,C_0603_1608Metric,149.455,-33.455,90.0,top
C115,0.1u,C_0603_1608Metric,125.88,-41.855,0.0,top
C116,0.1u,C_0603_1608Metric,136.725,-44.47873,-90.0,top
C117,0.1u,C_0603_1608Metric,127.325,-46.22873,180.0,top
C118,0.1u,C_0603_1608Metric,132.38,-38.455,-90.0,top
C119,0.1u,C_0603_1608Metric,132.38,-49.755,90.0,top
C120,1.5p,C_0603_1608Metric,149.455,-45.70373,90.0,top
C121,1.5p,C_0603_1608Metric,149.455,-48.73,90.0,top
C122,1.5p,C_0603_1608Metric,149.4575,-39.585,90.0,top
C123,1.5p,C_0603_1608Metric,149.4575,-42.635,90.0,top
C124,0.1u,C_0603_1608Metric,164.205,-40.69873,90.0,top
C125,0.1u,C_0603_1608Metric,167.455,-36.760602,0.0,top
C126,0.1u,C_0603_1608Metric,163.805,-56.89873,90.0,top
C127,0.1u,C_0603_1608Metric,169.124401,-52.78,0.0,top
C128,0.1u,C_0603_1608Metric,162.255,-32.24873,-90.0,top
C129,0.1u,C_0603_1608Metric,157.324401,-36.110602,180.0,top
C130,0.1u,C_0603_1608Metric,161.849401,-47.48,-90.0,top
