Designator,Mid X,Mid Y,Rotation,Layer
C1,88.26,-102.94,0.0,top
C10,76.04131,-102.90373,270.0,top
C100,162.15,-64.18746,270.0,top
C101,157.219401,-68.049332,180.0,top
C102,161.744401,-79.41873,270.0,top
C103,156.9175,-83.71873,180.0,top
C104,177.0625,-86.053429,90.0,top
C105,177.0625,-82.94373,90.0,top
C106,177.0125,-70.309031,90.0,top
C107,177.0125,-67.22373,90.0,top
C108,124.225,-45.17873,0.0,top
C109,140.175,-43.52873,180.0,top
C11,71.54131,-101.90373,270.0,top
C110,140.175,-45.37873,180.0,top
C111,149.455,-51.805,90.0,top
C112,149.455,-54.855,90.0,top
C113,149.455,-36.53,90.0,top
C114,149.455,-33.455,90.0,top
C115,125.88,-41.855,0.0,top
C116,136.725,-44.47873,270.0,top
C117,127.325,-46.22873,180.0,top
C118,132.38,-38.455,270.0,top
C119,132.38,-49.755,90.0,top
C12,72.44131,-89.80373,90.0,top
C120,149.455,-45.70373,90.0,top
C121,149.455,-48.73,90.0,top
C122,149.4575,-39.585,90.0,top
C123,149.4575,-42.635,90.0,top
C124,164.205,-40.69873,90.0,top
C125,167.455,-36.760602,0.0,top
C126,163.805,-56.89873,90.0,top
C127,169.124401,-52.78,0.0,top
C128,162.255,-32.24873,270.0,top
C129,157.324401,-36.110602,180.0,top
C13,60.01,-95.44,180.0,top
C130,161.849401,-47.48,270.0,top
C131,157.0225,-51.78,180.0,top
C132,177.1675,-54.114699,90.0,top
C133,177.1675,-51.005,90.0,top
C134,177.1175,-38.370301,90.0,top
C135,177.1175,-35.285,90.0,top
C136,217.735,-60.001401,270.0,top
C137,225.725,-60.001401,270.0,top
C138,246.85,-63.45,180.0,top
C139,215.825,-51.476401,180.0,top
C14,68.01,-94.69,180.0,top
C140,220.025,-56.726401,270.0,top
C141,223.875,-51.476401,180.0,top
C142,228.025,-56.676401,270.0,top
C143,224.775,-47.626401,0.0,top
C144,220.825,-47.626401,0.0,top
C145,231.7,-53.05,0.0,top
C146,236.6,-38.7,180.0,top
C147,233.975,-56.3,0.0,top
C148,233.975,-57.85,0.0,top
C149,244.9,-59.05,90.0,top
C15,85.8,-79.2,270.0,top
C150,237.3,-62.95,90.0,top
C151,206.26869,-45.76127,270.0,top
C152,195.05,-47.25,270.0,top
C153,105.835,-119.43,0.0,top
C154,105.835,-120.94,0.0,top
C155,84.5672,-131.44,270.0,top
C156,83.0672,-131.44,270.0,top
C157,86.4528,-110.19,270.0,top
C158,97.0028,-111.69,0.0,top
C159,87.9528,-110.19,270.0,top
C16,97.71869,-63.93627,270.0,top
C160,98.7778,-125.94,0.0,top
C161,98.7778,-128.19,0.0,top
C162,97.0278,-113.19,0.0,top
C163,77.85,-113.65,0.0,top
C164,81.2028,-112.44,0.0,top
C165,73.7028,-120.69,180.0,top
C166,73.7028,-119.19,180.0,top
C167,91.26,-135.49,270.0,top
C168,89.51,-135.465,270.0,top
C169,77.85,-115.2,0.0,top
C17,97.71869,-72.68627,270.0,top
C170,225.48,-127.27,0.0,top
C171,238.7,-127.3,0.0,top
C172,95.44131,-114.75373,0.0,top
C173,100.39131,-118.30373,270.0,top
C174,94.41131,-124.28373,0.0,top
C175,96.56131,-122.03373,270.0,top
C176,95.07131,-122.03373,270.0,top
C177,92.21131,-126.93373,270.0,top
C178,90.66131,-125.83373,270.0,top
C179,88.46131,-125.83373,270.0,top
C18,89.8,-79.2,270.0,top
C180,86.96131,-125.83373,270.0,top
C181,83.51,-124.44,180.0,top
C182,85.81131,-113.18373,180.0,top
C183,89.51,-111.94,90.0,top
C184,91.0,-111.94,90.0,top
C185,92.51,-111.94,90.0,top
C186,82.535,-122.96,180.0,top
C187,82.51,-121.44,180.0,top
C188,83.41131,-118.73373,180.0,top
C189,95.59131,-116.60373,0.0,top
C19,97.96869,-54.43627,270.0,top
C2,87.51,-97.44,270.0,top
C20,112.71869,-68.93627,0.0,top
C21,112.71869,-59.93627,0.0,top
C22,78.09869,-76.18627,0.0,top
C23,112.69369,-50.43627,0.0,top
C24,124.12,-139.53,0.0,top
C25,140.07,-137.88,180.0,top
C26,140.07,-139.73,180.0,top
C27,149.35,-146.15627,90.0,top
C28,149.35,-149.20627,90.0,top
C29,149.35,-130.88127,90.0,top
C3,85.44131,-93.95373,0.0,top
C30,149.35,-127.80627,90.0,top
C31,125.775,-136.20627,0.0,top
C32,136.62,-138.83,270.0,top
C33,127.22,-140.58,180.0,top
C34,132.275,-132.80627,270.0,top
C35,132.275,-144.10627,90.0,top
C36,149.35,-140.055,90.0,top
C37,149.35,-143.08127,90.0,top
C38,149.3525,-133.93627,90.0,top
C39,149.3525,-136.98627,90.0,top
C4,68.01,-96.19,180.0,top
C40,164.1,-135.05,90.0,top
C41,167.35,-131.111872,0.0,top
C42,163.7,-151.25,90.0,top
C43,169.019401,-147.13127,0.0,top
C44,162.15,-126.6,270.0,top
C45,157.219401,-130.461872,180.0,top
C46,161.744401,-141.83127,270.0,top
C47,156.9175,-146.13127,180.0,top
C48,177.0625,-148.465969,90.0,top
C49,177.0625,-145.35627,90.0,top
C5,66.11131,-90.70873,90.0,top
C50,177.0125,-132.721571,90.0,top
C51,177.0125,-129.63627,90.0,top
C52,124.12,-108.32373,0.0,top
C53,140.07,-106.67373,180.0,top
C54,140.07,-108.52373,180.0,top
C55,149.35,-114.95,90.0,top
C56,149.35,-118.0,90.0,top
C57,149.35,-99.675,90.0,top
C58,149.35,-96.6,90.0,top
C59,125.775,-105.0,0.0,top
C6,75.61131,-89.18373,90.0,top
C60,136.62,-107.62373,270.0,top
C61,127.22,-109.37373,180.0,top
C62,132.275,-101.6,270.0,top
C63,132.275,-112.9,90.0,top
C64,149.35869,-108.78627,90.0,top
C65,149.35,-111.875,90.0,top
C66,149.3525,-102.73,90.0,top
C67,149.3525,-105.78,90.0,top
C68,164.1,-103.84373,90.0,top
C69,167.35,-99.905602,0.0,top
C7,68.61131,-91.48373,180.0,top
C70,163.7,-120.04373,90.0,top
C71,169.019401,-115.925,0.0,top
C72,162.15,-95.39373,270.0,top
C73,157.219401,-99.255602,180.0,top
C74,161.744401,-110.625,270.0,top
C75,156.9175,-114.925,180.0,top
C76,177.0625,-117.259699,90.0,top
C77,177.0625,-114.15,90.0,top
C78,177.0125,-101.515301,90.0,top
C79,177.0125,-98.43,90.0,top
C8,70.8975,-89.8025,90.0,top
C80,124.12,-77.11746,0.0,top
C81,140.07,-75.46746,180.0,top
C82,140.07,-77.31746,180.0,top
C83,149.35,-83.74373,90.0,top
C84,149.35,-86.79373,90.0,top
C85,149.35,-68.46873,90.0,top
C86,149.35,-65.39373,90.0,top
C87,125.775,-73.79373,0.0,top
C88,136.62,-76.41746,270.0,top
C89,127.22,-78.16746,180.0,top
C9,82.64131,-95.50373,0.0,top
C90,132.275,-70.39373,270.0,top
C91,132.275,-81.69373,90.0,top
C92,149.35,-77.64246,90.0,top
C93,149.35,-80.66873,90.0,top
C94,149.3525,-71.52373,90.0,top
C95,149.3525,-74.57373,90.0,top
C96,164.1,-72.63746,90.0,top
C97,167.35,-68.699332,0.0,top
C98,163.7,-88.83746,90.0,top
C99,169.019401,-84.71873,0.0,top
D1,82.20019,-54.43627,90.0,top
F1,77.62819,-54.43627,90.0,top
J1,86.1,-87.8,0.0,top
J2,58.755,-68.995,270.0,top
J3,201.11869,-72.96627,0.0,bottom
J4,68.5,-54.05,270.0,top
J5,88.985,-142.19,90.0,top
L1,89.09869,-75.43627,180.0,top
PS1,88.21869,-63.31627,270.0,top
R1,61.76,-89.85,270.0,top
R10,147.8,-146.15627,90.0,top
R100,174.0275,-38.370301,90.0,top
R101,174.0275,-35.285,270.0,top
R102,175.6175,-54.114699,90.0,top
R103,175.6175,-51.005,90.0,top
R104,175.5675,-38.370301,90.0,top
R105,175.5775,-35.29,90.0,top
R106,220.075,-59.226401,180.0,top
R107,228.075,-59.226401,180.0,top
R109,234.75,-53.95,270.0,top
R11,147.8,-149.20627,90.0,top
R110,234.75,-60.15,270.0,top
R111,237.3,-59.25,90.0,top
R113,192.81869,-40.68627,0.0,top
R114,189.71869,-47.13627,270.0,top
R115,192.81869,-42.28627,180.0,top
R116,192.66869,-51.93627,0.0,top
R117,206.31869,-49.63627,90.0,top
R119,105.335,-123.44,270.0,top
R12,147.8,-130.88127,90.0,top
R120,82.3172,-129.19,180.0,top
R121,105.335,-116.94,90.0,top
R122,85.3172,-129.19,0.0,top
R123,103.585,-120.19,90.0,top
R124,83.8172,-127.69,0.0,top
R125,96.5278,-127.004,90.0,top
R126,75.9528,-118.44,90.0,top
R127,75.9528,-121.45,270.0,top
R128,98.84131,-115.50373,270.0,top
R129,77.4528,-119.94,270.0,top
R13,147.8,-127.80627,90.0,top
R130,81.2028,-110.94,180.0,top
R131,90.335,-132.99,0.0,top
R14,146.25,-140.055,90.0,top
R15,146.25,-143.08127,90.0,top
R16,146.2525,-133.93627,90.0,top
R17,146.2525,-136.98627,90.0,top
R18,147.8,-140.055,90.0,top
R19,147.8,-143.08127,90.0,top
R2,63.31,-89.86,90.0,top
R20,147.8025,-133.93627,90.0,top
R21,147.8025,-136.98627,90.0,top
R22,128.45,-144.10627,90.0,top
R23,173.9625,-148.465969,90.0,top
R24,173.9625,-145.35627,270.0,top
R25,173.9225,-132.721571,90.0,top
R26,173.9225,-129.63627,270.0,top
R27,175.5125,-148.465969,90.0,top
R28,175.5125,-145.35627,90.0,top
R29,175.4625,-132.721571,90.0,top
R3,88.51,-94.44,0.0,top
R30,175.4725,-129.64127,90.0,top
R31,146.25,-114.95,90.0,top
R32,146.25,-118.0,90.0,top
R33,146.25,-99.675,90.0,top
R34,146.25,-96.6,90.0,top
R35,147.8,-114.95,90.0,top
R36,147.8,-118.0,90.0,top
R37,147.8,-99.675,90.0,top
R38,147.8,-96.6,90.0,top
R39,146.25869,-108.78627,90.0,top
R4,60.76,-108.19,90.0,top
R40,146.25,-111.875,90.0,top
R41,146.2525,-102.73,90.0,top
R42,146.2525,-105.78,90.0,top
R43,147.80869,-108.78627,90.0,top
R44,147.8,-111.875,90.0,top
R45,147.8025,-102.73,90.0,top
R46,147.8025,-105.78,90.0,top
R47,128.45,-112.9,90.0,top
R48,173.9625,-117.259699,90.0,top
R49,173.9625,-114.15,270.0,top
R5,60.76,-117.19,270.0,top
R50,173.9225,-101.515301,90.0,top
R51,173.9225,-98.43,270.0,top
R52,175.5125,-117.259699,90.0,top
R53,175.5125,-114.15,90.0,top
R54,175.4625,-101.515301,90.0,top
R55,175.4725,-98.435,90.0,top
