Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,27p,
"C10, C100, C101, C102, C103, C108, C109, C11, C110, C115, C116, C117, C118, C119, C12, C124, C125, C126, C127, C128, C129, C13, C130, C131, C138, C139, C14, C140, C141, C142, C143, C144, C145, C146, C148, C149, C150, C151, C152, C153, C154, C155, C156, C157, C158, C159, C160, C161, C162, C163, C164, C165, C166, C167, C168, C169, C170, C171, C172, C173, C174, C175, C176, C177, C178, C179, C180, C181, C182, C183, C184, C185, C186, C187, C188, C189, C24, C25, C26, C3, C31, C32, C33, C34, C35, C40, C41, C42, C43, C44, C45, C46, C47, C5, C52, C53, C54, C59, C6, C60, C61, C62, C63, C68, C69, C70, C71, C72, C73, C74, C75, C8, C80, C81, C82, C87, C88, C89, C9, C90, C91, C96, C97, C98, C99",0603,125,0.1u,
"C104, C105, C106, C107, C132, C133, C134, C135, C4, C48, C49, C50, C51, C7, C76, C77, C78, C79",0603,18,1u,
"C111, C112, C113, C114, C120, C121, C122, C123, C27, C28, C29, C30, C36, C37, C38, C39, C55, C56, C57, C58, C64, C65, C66, C67, C83, C84, C85, C86, C92, C93, C94, C95",0603,32,1.5p,
"C136, C137",0603,2,1n,
C147,0603,1,10p,
C15,0603,1,470u,
"C16, C17, C19, C20, C21, C22, C23",0603,7,10u,
C18,0603,1,2.2u,
"D1, D2",0603,2,PMEG3020CEP,
F1,0603,1,F0603E1R25FSTR,
J1,PinSocket_1x02_P1.00mm_Vertical,1,SWD_JP,
J2,USB_Micro-B_Wuerth_629105150521,1,629105150521,
J3,PinHeader_2x16_P2.54mm_Vertical,1,Conn_02x16,
J4,BarrelJack_GCT_DCJ200-10-A_Horizontal,1,Barrel_Jack,
J5,PinHeader_1x02_P2.54mm_Vertical,1,CLK4_DIAG,
L1,0603,1,18u,
PS1,Converter_DCDC_XP_POWER-IAxxxxD_THT,1,IA0515D,
"R1, R2",0603,2,27.4,
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R56, R57, R58, R59, R6, R60, R61, R62, R63, R64, R65, R66, R67, R68, R69, R7, R70, R71, R8, R81, R82, R83, R84, R85, R86, R87, R88, R89, R9, R90, R91, R92, R93, R94, R95, R96",0603,64,499,
"R100, R101, R113, R114, R115, R23, R24, R25, R26, R3, R4, R48, R49, R50, R51, R73, R74, R75, R76, R98, R99",0603,21,1k,
"R102, R103, R104, R105, R27, R28, R29, R30, R52, R53, R54, R55, R77, R78, R79, R80",0603,16,49.9,
"R106, R107, R109",0603,3,1M,
R110,0603,1,10k,
R111,0603,1,100k,
"R116, R117",0603,2,500,
"R119, R120, R121, R122, R126, R127",0603,6,240,
"R123, R124, R125, R129, R131",0603,5,100,
R128,0603,1,4.12k,
R130,0603,1,50,
"R22, R47, R72, R97",0603,4,8.06K,
R5,0603,1,4.7k,
"RV1, RV2",POT_2023-08-01_VIS,2,M64W202KB40,
RV3,POT_2023-08-01_VIS,1,M64W103KB40,
SW1,SW_Push_SPST_NO_Alps_SKRK,1,BOOT_SEL,
SW2,SW_Push_SPST_NO_Alps_SKRK,1,SW_Push,
SW3,ANT11SF1CQE,1,ANT11SF1CQE,
SW4,SW_E-Switch_EG1271_SPDT,1,SW_SPDT_321,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
"U10, U11, U13, U14, U16, U17, U7, U8",CP_16_4_ADI,8,ADA4817-2ACPZ-R7,
"U12, U15, U6, U9",LFCSP-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm,4,AD9106BCP,
U18,RJ_6_ADI,1,AD7680ARJZ-REEL7,
"U19, U20, U23",TSSOP-8_3x3mm_P0.65mm,3,TL071,
U2,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,
U21,D0008A-IPC_A,1,INA849DR,
U22,SOIC-20W_7.5x12.8mm_P1.27mm,1,AD630ARZ,
U24,D14,1,OPA4228UA,
U25,CP_48_1_ADI,1,AD9512BCPZ,
"U26, U27",SOIC-16W_5.3x10.2mm_P1.27mm,2,SN74HC595,
"U28, U29, U30, U31",RU_28_ADI,4,ADG1406BRUZ-REEL7,
"U3, U4",SOT-223-3_TabPin2,2,NCP1117-3.3_SOT223,
U5,SOT-223-3_TabPin2,1,NCP1117-5.0_SOT223,
Y1,Crystal_SMD_HC49-SD,1,ABLS-12.000MHZ-B4-T,
